,,Model1,Model2,Model3,Model4,Model5,Model6,,,
Titanic,ADB,-2.045418157,-2.199656757,-1.807365172,-2.358742727,-1.789507555,-1.881169831,,,
,XGB,-2.582815824,-2.61179644,-1.884283719,-2.554265926,-1.996344181,-2.139284288,,,
Adult,ADB,-1.101736863,-1.111127841,-1.016671404,-1.078846381,-1.017338422,-1.07147663,,,
,XGB,-1.202317221,-1.091690946,-1.23524667,-1.304061313,-1.065891518,-1.18571187,,,
BM,ADB,1.255267849,0.129452205,1.51742386,0.729407323,1.189828136,1.079982188,,,
,XGB,1.443023987,0.128936193,1.701529035,0.852506973,1.462843672,1.392800557,,,
GC,ADB,0.218288495,0.146032697,0.000450794,0.765986918,-0.032526026,-0.041608665,,,
,XGB,0.126755209,0.221735869,0.05782774,1.062646003,-0.275834641,-0.122604307,,,
,,,,,,,,,,
,,,Adaptive,Gradient,ADB,XGB,ADB,XGB,ADB,XGB
,Titanic,TM1,-2.045418157,-2.582815824,,,,,,
,,TM2,-2.199656757,-2.61179644,,,,,,
,,TM3,-1.807365172,-1.884283719,,,,,,
1.255267849,,TM4,-2.358742727,-2.554265926,,,,,,
0.129452205,,TM5,-1.789507555,-1.996344181,,,,,,
1.51742386,,TM6,-1.881169831,-2.139284288,,,,,,
0.729407323,Adult,AC1,-1.101736863,-1.202317221,,,,,,
1.189828136,,AC2,-1.111127841,-1.091690946,,,,,,
1.079982188,,AC3,-1.016671404,-1.23524667,,,,,,
,,AC4,-1.078846381,-1.304061313,,,,,,
0.218288495,,AC5,-1.017338422,-1.065891518,,,,,,
0.146032697,,AC6,-1.07147663,-1.18571187,,,,,,
0.000450794,Bank Marketing,BM1,1.255267849,1.443023987,,,,,,
0.765986918,,BM2,0.129452205,0.128936193,,,,,,
-0.032526026,,BM3,1.51742386,1.701529035,,,,,,
-0.041608665,,BM4,0.729407323,0.852506973,,,,,,
,,BM5,1.189828136,1.462843672,,,,,,
,,BM6,1.079982188,1.392800557,,,,,,
,German Credit,GC1,0.218288495,0.126755209,,,,,,
,,GC2,0.146032697,0.221735869,,,,,,
,,GC3,0.000450794,0.05782774,,,,,,
,,GC4,0.765986918,1.062646003,,,,,,
,,GC5,-0.032526026,-0.275834641,,,,,,
,,GC6,-0.041608665,-0.122604307,,,,,,
