,,,,,,,,,,,Average,,
Titanic,-2.077807498,-1.714963027,-2.317270991,-1.718206475,-2.039257541,-2.022849125,-2.073427791,-2.128799352,-2.061982501,-2.299617267,-2.045418157,0.201217669,
,-2.216514782,-2.279817146,-2.223414751,-2.173137303,-2.274615129,-2.312495504,-2.096929405,-2.242568192,-2.181820823,-1.995254531,-2.199656757,0.094763821,
,-1.960162282,-1.630961639,-1.70310793,-1.583384277,-1.829472716,-1.781091073,-1.837115545,-1.926661029,-1.613307309,-2.208387921,-1.807365172,0.191565346,
,-2.520906911,-2.176716606,-2.446209247,-2.286613408,-2.555853222,-2.515256967,-2.099357385,-2.290501719,-2.249802554,-2.446209247,-2.358742727,0.158846173,
,-1.663343417,-1.74377738,-1.902857613,-1.844687038,-1.927287513,-1.669429467,-1.831004766,-1.866086565,-1.842298008,-1.60430378,-1.789507555,0.111543388,
,-2.024266377,-1.878582757,-1.927234095,-1.948402479,-1.79095754,-1.934024316,-1.696566409,-1.823945611,-1.799035872,-1.988682852,-1.881169831,0.102043229,0.143329938
,,,,,,,,,,,,,
Adult,-1.115861435,-1.040418517,-1.141390883,-1.070217252,-1.074519721,-1.126602647,-1.097056893,-1.116827104,-1.148709106,-1.085765073,-1.101736863,0.034311575,
,-1.106428914,-1.142000086,-1.153179575,-1.02838233,-1.186463606,-1.142108259,-1.039974007,-1.098594299,-1.143755161,-1.070392176,-1.111127841,0.051821812,
,-0.948378734,-0.955926743,-1.107683684,-1.01239064,-0.93789249,-0.947985586,-1.027197405,-1.058420119,-1.06467978,-1.106158858,-1.016671404,0.066454481,
,-1.036990987,-1.102218084,-1.03488734,-1.081154729,-1.17010541,-1.11910697,-1.059577823,-1.069587552,-1.108287874,-1.006547038,-1.078846381,0.047999955,
,-0.990361192,-1.017550508,-1.013103513,-0.981809332,-1.010883169,-1.014615631,-1.094430349,-0.992674741,-1.083925635,-0.974030151,-1.017338422,0.040713192,
,-1.074819824,-1.09979762,-1.058060713,-1.091068706,-1.070139315,-1.057747282,-1.059675331,-1.07535176,-1.065626171,-1.06247958,-1.07147663,0.014286113,0.042597855
,,,,,,,,,,,,,
Bank Marketing,1.205201515,1.411325944,1.167304695,1.124606192,1.202565104,1.351193087,1.389473574,1.460654592,1.232006636,1.008347149,1.255267849,0.143509887,
,0.135865066,0.13344219,0.125832512,0.146361919,0.119866902,0.134007531,0.125455111,0.12578613,0.116854592,0.131050094,0.129452205,0.008559493,
,1.665671841,1.622161023,1.694809187,1.197839435,1.445070784,1.324844994,1.412165175,1.625015661,1.628069635,1.558590861,1.51742386,0.16514683,
,0.726651406,0.717788968,0.724578669,0.737253855,0.752847831,0.721643493,0.720982025,0.740535467,0.736563214,0.715228306,0.729407323,0.011945581,
,1.329814355,1.217513042,1.381749786,1.228095846,1.136545835,1.019483772,1.109557658,1.29869198,1.196080152,0.980748929,1.189828136,0.130198578,
,1.084957786,1.32971482,1.035035252,1.000529995,0.951550083,1.304153549,1.184353987,1.018259867,0.772638339,1.118628208,1.079982188,0.166041661,0.104233672
,,,,,,,,,,,,,
German Credit,0.155000693,0.199258883,0.296213621,0.296191339,0.345775501,0.204091041,0.119030979,0.1592531,0.179914288,0.228155508,0.218288495,0.07293096,
,0.371243446,0.340399982,0.049568009,0.132927831,0.099519682,-0.013254086,0.092299451,0.243363973,0.019345888,0.124912795,0.146032697,0.130965506,
,-0.005265875,-0.047230455,0.016414318,-0.088791748,0.001536633,0.050211265,-0.053651764,0.156295836,0.002704248,-0.02771452,0.000450794,0.067507743,
,0.859157592,0.719480153,0.793091995,0.485667295,0.701012587,0.833150592,1.344897441,0.808473621,0.58518589,0.529752013,0.765986918,0.241368438,
,0.037298682,0.070706809,0.051482796,-0.085163302,-0.158993147,0.061616231,-0.001661824,-0.025380911,-0.252191618,-0.02297398,-0.032526026,0.105179865,
,0.042124083,0.056132354,0.067219395,-0.022897456,-0.065464166,-0.176021901,-0.096472155,0.010853746,-0.088159204,-0.143401348,-0.041608665,0.08543038,0.117230482
